location,listPrice,livingArea,additionalArea,plotArea,source,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,rent,floor,isNewConstruction
"{'address': {'streetAddress': 'Sturegatan 125', 'city': 'Falun'}, 'position': {'latitude': 60.61006185, 'longitude': 15.61970139}, 'namedAreas': ['Gamla Herrgården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3875000.0,77.0,,646.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",3.0,2020-11-14 04:47:20,1930.0,Villa,4038816,2020-11-28,4500000,maklare,https://www.booli.se/annons/4038816,,,
"{'address': {'streetAddress': 'Pilbovägen 61', 'city': 'Falun'}, 'position': {'latitude': 60.5870726, 'longitude': 15.61389135}, 'namedAreas': ['Pilbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2495000.0,150.0,48.0,1206.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",6.0,2020-11-10 10:41:23,2007.0,Villa,3617216,2020-11-27,2855000,bid,https://www.booli.se/annons/3617216,,,
"{'address': {'streetAddress': 'Strandvägen 90', 'city': 'Falun'}, 'position': {'latitude': 60.58318, 'longitude': 15.6929}, 'namedAreas': ['Roxnäs'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4250000.0,117.0,,,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",3.0,2020-04-28 10:16:24,1992.0,Villa,3812067,2020-05-05,5050000,maklare,https://www.booli.se/annons/3812067,5311.0,,
"{'address': {'streetAddress': 'Bryggarvägen 8', 'city': 'Falun'}, 'position': {'latitude': 60.587172, 'longitude': 15.755802}, 'namedAreas': ['Uddnäs'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2695000.0,146.0,70.0,1816.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2020-09-26 03:21:25,1947.0,Villa,3977722,2020-10-16,2810000,maklare,https://www.booli.se/annons/3977722,,,
"{'address': {'streetAddress': 'Stångtjärnsvägen 201', 'city': 'Falun'}, 'position': {'latitude': 60.61999071, 'longitude': 15.60276931}, 'namedAreas': ['Slätta'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1790000.0,110.0,,267.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",4.0,2020-11-10 20:04:19,,Villa,4033110,2020-11-19,2350000,bid,https://www.booli.se/annons/4033110,,,
"{'address': {'streetAddress': 'Backavägen 3', 'city': 'Danholn'}, 'position': {'latitude': 60.62067203, 'longitude': 15.7914884}, 'namedAreas': ['Danholn'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1495000.0,110.0,0.0,911.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",3.0,2020-10-28 20:09:55,1982.0,Villa,4018377,2020-11-13,2150000,bid,https://www.booli.se/annons/4018377,,,
"{'address': {'streetAddress': 'Hyttgatan 30', 'city': 'Falun'}, 'position': {'latitude': 60.603309, 'longitude': 15.626808}, 'namedAreas': ['Elsborg'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2450000.0,115.0,75.0,344.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",5.0,2020-10-16 21:46:10,1929.0,Villa,4005476,2020-11-13,3050500,bid,https://www.booli.se/annons/4005476,,,
"{'address': {'streetAddress': 'Strandvägen 37', 'city': 'Falun'}, 'position': {'latitude': 60.595639, 'longitude': 15.659049}, 'namedAreas': ['Falun'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3950000.0,120.0,90.0,1347.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",6.0,2020-10-28 21:23:00,1956.0,Villa,4018460,2020-11-12,5500000,maklare,https://www.booli.se/annons/4018460,,,
"{'address': {'streetAddress': 'Eriksbergsvägen 8', 'city': 'Linghed'}, 'position': {'latitude': 60.78442197, 'longitude': 15.90719696}, 'namedAreas': ['Linghed'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1650000.0,102.0,42.0,1920.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",6.0,2020-10-19 22:00:30,1930.0,Villa,4007644,2020-11-10,2200000,bid,https://www.booli.se/annons/4007644,,,
"{'address': {'streetAddress': 'Rörosvägen 10', 'city': 'Falun'}, 'position': {'latitude': 60.60193679, 'longitude': 15.67324773}, 'namedAreas': ['Övre Norslund'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3250000.0,115.0,108.0,711.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2020-10-24 22:52:17,1962.0,Villa,4014053,2020-11-07,3700000,maklare,https://www.booli.se/annons/4014053,,,
"{'address': {'streetAddress': 'Hälsingstrandsvägen 9', 'city': 'Falun'}, 'position': {'latitude': 60.5888084, 'longitude': 15.69855611}, 'namedAreas': ['Hälsinggården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4675000.0,200.0,36.0,1250.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2020-10-16 19:34:14,1913.0,Villa,4005292,2020-11-01,5550000,bid,https://www.booli.se/annons/4005292,,,
"{'address': {'streetAddress': 'Borisa 3', 'city': 'Bjursås'}, 'position': {'latitude': 60.73974249, 'longitude': 15.46651719}, 'namedAreas': ['Bjursås'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1975000.0,172.0,31.0,1306.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",7.0,2020-10-09 20:15:21,1981.0,Villa,3995888,2020-10-29,2750000,bid,https://www.booli.se/annons/3995888,,,
"{'address': {'streetAddress': 'Pegmatitstigen 3', 'city': 'Falun'}, 'position': {'latitude': 60.582025, 'longitude': 15.637218}, 'namedAreas': ['Galgberget'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3950000.0,115.0,60.0,1189.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2020-10-05 00:31:37,2009.0,Villa,3987591,2020-10-09,4300000,maklare,https://www.booli.se/annons/3987591,,,
"{'address': {'streetAddress': 'Tansberget 7', 'city': 'Grycksbo'}, 'position': {'latitude': 60.679521, 'longitude': 15.478642}, 'namedAreas': ['Grycksbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2895000.0,277.0,80.0,4259.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",9.0,2020-09-21 02:16:24,1930.0,Villa,3969202,2020-10-09,5550000,maklare,https://www.booli.se/annons/3969202,,,
"{'address': {'streetAddress': 'Ekvägen 12', 'city': 'Falun'}, 'position': {'latitude': 60.58893124, 'longitude': 15.69669499}, 'namedAreas': ['Hälsinggården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2250000.0,106.0,106.0,930.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",5.0,2020-09-26 15:15:01,1967.0,Villa,3978122,2020-10-09,3300000,bid,https://www.booli.se/annons/3978122,,,
"{'address': {'streetAddress': 'Sannas Täkt 5'}, 'position': {'latitude': 60.6425, 'longitude': 15.632798}, 'namedAreas': ['Uggelviken'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1795000.0,45.0,16.0,3740.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",2.0,2020-09-12 20:14:28,2002.0,Villa,3958100,2020-10-09,1700000,maklare,https://www.booli.se/annons/3958100,,,
"{'address': {'streetAddress': 'Björntomtavägen 3', 'city': 'Falun'}, 'position': {'latitude': 60.58684528, 'longitude': 15.68807835}, 'namedAreas': ['Hälsinggården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2650000.0,111.0,130.0,900.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",3.0,2020-09-02 12:26:21,1964.0,Villa,3941883,2020-10-07,2500000,bobot,https://www.booli.se/annons/3941883,,,
"{'address': {'streetAddress': 'Orrbacksvägen 15', 'city': 'Bengtsheden'}, 'position': {'latitude': 60.710339, 'longitude': 15.86757}, 'namedAreas': ['Svärdsjö'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2450000.0,160.0,,1683.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",7.0,2020-09-23 01:24:45,1984.0,Villa,3971984,2020-10-03,2850000,maklare,https://www.booli.se/annons/3971984,,,
